ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
226133_s_at	0.00000298	1.32e-10	27.804246	TBC1D10A	TBC1 domain family member 10A
235136_at	0.00000324	2.86e-10	26.670169	ORMDL3	ORMDL sphingolipid biosynthesis regulator 3
225309_at	0.00000672	8.90e-10	25.031987	PHF5A	PHD finger protein 5A
242109_at	0.00001208	2.13e-09	23.79289		
236545_at	0.00002457	5.42e-09	22.491387		
228528_at	0.00002538	6.72e-09	22.194598	MIR29C///MIR29B2	microRNA 29c///microRNA 29b-2
243759_at	0.00004765	1.61e-08	21.003166	SCAF4	SR-related CTD associated factor 4
229322_at	0.00004765	1.68e-08	20.938564	PPP2R5E	protein phosphatase 2 regulatory subunit B'epsilon
234294_x_at	0.0000692	3.07e-08	20.128823	GATAD2A	GATA zinc finger domain containing 2A
223578_x_at	0.0000692	3.24e-08	20.056319	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
243134_at	0.0000692	3.36e-08	20.005316		
223265_at	0.00007815	4.14e-08	19.725703	SH3BP5L	SH3 binding domain protein 5 like
227510_x_at	0.00016832	1.01e-07	18.546294	MALAT1	metastasis associated lung adenocarcinoma transcript 1 (non-protein coding)
226663_at	0.00016832	1.04e-07	18.503507	ANKRD10-IT1	ANKRD10 intronic transcript 1
238706_at	0.00017814	1.18e-07	18.338295	PAPD4	poly(A) RNA polymerase D4, non-canonical
244038_at	0.00020038	1.42e-07	18.099344	WDR89	WD repeat domain 89
223002_s_at	0.0002493	1.87e-07	17.734888	XRN2	5'-3' exoribonuclease 2
224652_at	0.00030389	2.42e-07	17.403111	CCNY	cyclin Y
222975_s_at	0.00040164	3.37e-07	16.972392	CSDE1	cold shock domain containing E1
226942_at	0.00042888	3.79e-07	16.821719	PHF20L1	PHD finger protein 20-like 1
226217_at	0.00044143	4.09e-07	16.721835	SLC30A7	solute carrier family 30 member 7
226715_at	0.00046672	4.53e-07	16.590539	FOXK1	forkhead box K1
229934_at	0.0005081	5.16e-07	16.424642		
226315_at	0.00051816	5.49e-07	16.345057	ZNF830	zinc finger protein 830
242146_at	0.00056466	6.28e-07	16.17322	SNRPA1	small nuclear ribonucleoprotein polypeptide A'
240830_at	0.00056466	6.48e-07	16.133023	SCARNA17	small Cajal body-specific RNA 17
243431_at	0.00081443	9.71e-07	15.619446		
224414_s_at	0.00081603	1.01e-06	15.570892	CARD6	caspase recruitment domain family member 6
200051_at	0.00081669	1.05e-06	15.525468	SART1	squamous cell carcinoma antigen recognized by T-cells 1
239046_at	0.00082845	1.10e-06	15.464503		
